Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,189,00:A,01:0,02:B,03:B,04:B,05:0,06:A,07:B,08:B,09:B,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:A,18:0,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,228,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:0,10:B,11:A,12:A,13:B,14:B,15:B,16:0,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,180,00:A,01:0,02:B,03:B,04:0,05:0,06:A,07:B,08:B,09:B,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:A,18:0,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,93,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,111,00:A,01:B,02:B,03:B,04:B,05:B,06:0,07:B,08:B,09:B,10:B,11:0,12:0,13:B,14:B,15:B,16:B,17:0,18:B,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,85,00:A,01:B,02:B,03:B,04:B,05:0,06:A,07:B,08:B,09:B,10:0,11:0,12:0,13:B,14:B,15:B,16:B,17:0,18:B,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,100,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:0,12:0,13:B,14:B,15:B,16:B,17:A,18:B,19:0,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,292,00:B,01:0,02:B,03:0,04:0,05:0,06:0,07:B,08:0,09:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,323,00:A,01:0,02:0,03:0,04:0,05:0,06:A,07:0,08:0,09:0,10:A,11:A,12:A,13:A,14:0,15:0,16:0,17:0,18:0,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,131,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,287,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,161,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,331,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,306,00:A,01:B,02:B,03:B,04:0,05:A,06:0,07:B,08:0,09:0,10:A,11:0,12:0,13:A,14:0,15:0,16:B,17:B,18:A,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,116,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:0,17:A,18:B,19:0,20:0
