Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20,Answer.21,Answer.22,Answer.23,Answer.24,Answer.25,Answer.26,Answer.27,Answer.28,Answer.29,Answer.30,Answer.31,Answer.32,Answer.33,Answer.34,Answer.35,Answer.36,Answer.37,Answer.38,Answer.39,Answer.40,Answer.41,Answer.42,Answer.43,Answer.44,Answer.45,Answer.46,Answer.47,Answer.48,Answer.49,Answer.50,Answer.51,Answer.52,Answer.53,Answer.54,Answer.55,Answer.56,Answer.57,Answer.58,Answer.59,Answer.60,Answer.61,Answer.62,Answer.63,Answer.64,Answer.65,Answer.66,Answer.67,Answer.68,Answer.69,Answer.70,Answer.71,Answer.72,Answer.73,Answer.74,Answer.75,Answer.76,Answer.77,Answer.78,Answer.79,Answer.80,Answer.81,Answer.82,Answer.83,Answer.84
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,1108,00:G2,01:E2,02:0,03:B2,04:C2,05:0,06:A2,07:J2,08:C2,09:D2,10:0,11:0,12:C2,13:I2,14:A2,15:0,16:B2,17:H2,18:H2,19:G2,20:0,21:0,22:J1,23:I2,24:0,25:D1,26:C2,27:H1,28:I2,29:0,30:0,31:I2,32:D2,33:D2,34:F2,35:E2,36:H2,37:E2,38:0,39:I2,40:F2,41:F2,42:I2,43:0,44:F2,45:D2,46:J2,47:J2,48:A2,49:J2,50:D2,51:B2,52:A2,53:0,54:F2,55:B2,56:E2,57:G2,58:C2,59:0,60:B2,61:A2,62:C2,63:G2,64:F2,,66:D2,67:I2,68:G2,69:A2,70:I2,71:I2,72:C2,73:D2,74:0,75:J2,76:H2,77:B2,78:F2,79:C2,80:0,81:C2,82:G2,83:G2,84:F2
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,823,00:G2,01:C1,02:A2,03:B1,04:C1,05:E1,06:A2,07:J2,08:C1,09:D2,10:D1,11:J2,12:E1,13:I2,14:A1,15:H2,16:B2,17:H2,18:H2,19:G2,20:G1,21:J1,22:0,23:I1,24:C1,25:F1,26:E1,27:H2,28:I2,29:E1,30:H2,31:I2,32:D1,33:D2,34:F2,35:E1,36:H2,37:E1,38:B2,39:I2,40:F2,41:F2,42:I2,43:C1,44:F2,45:D2,46:J1,47:J1,48:A2,49:J2,50:D2,51:B2,52:A2,53:J1,54:F2,55:B2,56:E1,57:G2,58:E1,59:F1,60:B2,61:A2,62:C1,63:G2,64:F2,65:D1,66:D1,67:I1,68:G2,69:A2,70:I2,71:I2,72:C1,73:D2,74:G1,75:J1,76:H2,77:B2,78:F1,79:C1,80:A2,81:C1,82:G2,83:G2,84:F2
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,2323,00:G2,01:C1,02:A2,03:B2,04:C1,05:E1,06:A2,07:J1,08:C1,09:D1,10:D1,11:J1,12:C2,13:J1,14:A2,15:H2,16:B2,17:H2,18:H2,19:G2,20:G2,21:J2,22:I1,23:J1,24:E2,25:D2,26:C1,27:H1,28:I1,29:E1,30:0,31:I1,32:D2,33:D2,34:F2,35:E1,36:H2,37:E1,38:F1,39:I1,40:F2,41:F2,42:I2,43:C2,44:F2,45:D2,46:J2,47:J1,48:A2,49:J1,50:D2,51:B2,52:A2,53:J2,54:D2,55:B2,56:E2,57:G2,58:E1,59:D1,60:B2,61:A2,62:C1,63:G2,64:F2,65:D1,66:D1,67:J1,68:G2,69:A2,70:I2,71:I2,72:C2,73:D2,74:G1,75:J2,76:H2,77:B2,78:F2,79:C2,80:A2,81:C2,82:G2,83:G2,84:F2
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,2204,00:G2,01:C1,02:A2,03:B2,04:C1,05:E2,06:A2,07:J1,08:C2,09:D2,10:H2,11:J1,12:C1,13:I2,14:A2,15:H2,16:A2,17:H1,18:H2,19:G2,20:G2,21:J2,22:J1,23:I2,24:E2,25:G1,26:E2,27:H2,28:I1,29:C1,30:G2,31:I2,32:G1,33:D2,34:F2,35:E2,36:H2,37:E2,38:B2,39:I2,40:F2,41:F2,42:I2,43:C2,44:F2,45:D2,46:J2,47:J2,48:A2,49:J2,50:D2,51:B2,52:A2,53:J1,54:F2,55:B2,56:C1,57:G2,58:C1,59:F2,60:B2,61:A2,62:C2,63:G2,64:F2,65:D2,66:D2,67:I2,68:G2,69:A2,70:I2,71:I2,72:C2,73:D2,74:G2,75:J2,76:H1,77:B2,78:F2,79:C2,80:A1,81:E1,82:G2,83:G2,84:F2
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,2864,00:G2,01:C2,02:A2,03:B2,04:C2,05:E2,06:A2,07:J2,08:C2,09:D2,10:0,11:J2,12:C2,13:0,14:A2,15:H2,16:B2,17:H2,18:H2,19:G2,20:G2,21:J2,22:0,23:0,24:C2,25:D2,26:E2,27:H2,28:I2,29:C2,30:D2,31:I2,32:D2,33:D2,34:F2,35:E2,36:H2,37:C2,38:B2,39:I2,40:F2,41:F2,42:I2,43:C2,44:F2,45:D2,46:I2,47:J2,48:A2,49:J2,50:D2,51:B2,52:A2,53:J2,54:F2,55:B2,56:C2,57:G2,58:C2,59:0,60:B2,61:0,62:C2,63:G2,64:F2,65:D2,66:D2,67:I2,68:G2,69:A2,70:0,71:I2,72:C2,73:D2,74:G2,75:J2,76:H2,77:B2,78:F2,79:C2,80:0,81:C2,82:G2,83:G2,84:F2
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,1121,00:0,01:C1,02:0,03:0,04:C1,05:C1,06:A1,07:0,08:C1,09:D1,10:0,11:0,12:C1,13:I1,14:0,15:H1,16:B1,17:H1,18:H1,19:G1,20:0,21:0,22:0,23:I1,24:E1,25:0,26:0,27:H1,28:0,29:0,30:H1,31:I1,32:0,33:0,34:F1,35:C1,36:H1,37:E1,38:0,39:I1,40:F1,41:F1,42:I1,43:C1,44:F1,45:D1,46:0,47:0,48:A1,49:0,50:0,51:B1,52:A1,53:0,54:F1,55:0,56:0,57:0,58:0,59:0,60:B1,61:0,62:0,63:0,64:F1,65:0,66:0,67:I1,68:0,69:A1,70:I1,71:I1,72:C1,73:0,74:0,75:J1,76:H1,77:B1,78:F1,79:0,80:0,81:C1,82:G1,83:G1,84:F1
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,923,00:G1,01:C1,02:A1,03:B1,04:C1,05:C1,06:A1,07:J1,08:E1,09:D1,10:H1,11:J1,12:E1,13:I1,14:A1,15:H1,16:B1,17:H1,18:H1,19:G1,20:G1,21:J1,22:J1,23:I1,24:E1,25:D1,26:E1,27:H1,28:I1,29:E1,30:H1,31:I1,32:D1,33:D1,34:F1,35:C1,36:H1,37:E1,38:B1,39:I1,40:F1,41:F1,42:I1,43:C1,44:F1,45:D1,46:J1,47:J1,48:A1,49:J1,50:D1,51:B1,52:A1,53:J1,54:F1,55:B1,56:E1,57:G1,58:E1,59:F1,60:B1,61:A1,62:C1,63:G1,64:F1,65:D1,66:D1,67:I1,68:G1,69:A1,70:I1,71:I1,72:C1,73:D1,74:G1,75:J1,76:H1,77:B1,78:F1,79:E1,80:A1,81:C1,82:G1,83:G1,84:F1
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,1992,00:G2,01:C1,02:A2,03:B2,04:C1,05:E1,06:A2,07:J2,08:C1,09:D2,10:H1,11:J1,12:E1,13:I2,14:A2,15:H1,16:B2,17:H1,18:H1,19:G2,20:G2,21:J1,22:J1,23:I2,24:E1,25:D1,26:E1,27:H1,28:I2,29:E1,30:H1,31:I2,32:D1,33:D1,34:F2,35:E1,36:H1,37:E1,38:B2,39:I2,40:F2,41:F2,42:I2,43:C1,44:F1,45:D1,46:J1,47:J2,48:A2,49:J2,50:D1,51:B2,52:A2,53:J2,54:F2,55:B1,56:E1,57:G2,58:E1,59:F1,60:B2,61:A2,62:C1,63:G2,64:F2,65:D1,66:D1,67:I2,68:G2,69:A2,70:I2,71:I2,72:C1,73:D1,74:G1,75:J1,76:H1,77:B1,78:F1,79:C1,80:A2,81:C1,82:G2,83:G2,84:F2
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,469,00:0,01:C1,02:0,03:0,04:C1,05:E1,06:A1,07:0,08:0,09:D2,10:0,11:0,12:C1,13:I2,14:0,15:0,16:B1,17:H1,18:H1,19:0,20:0,21:0,22:0,23:I1,24:C1,25:0,26:E1,27:H1,28:I1,29:0,30:0,31:0,32:0,33:0,34:F2,35:C1,36:0,37:C1,38:0,39:I1,40:F1,41:F2,42:0,43:C1,44:0,45:0,46:0,47:0,48:0,49:0,50:0,51:B1,52:A1,53:0,54:F1,55:0,56:C1,57:0,58:E1,59:0,60:B1,61:A1,62:0,63:0,64:F1,65:0,66:0,67:I2,68:0,69:A1,70:I1,71:I1,72:0,73:0,74:0,75:0,76:0,77:B1,78:0,79:0,80:0,81:0,82:0,83:0,84:F1
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,1344,00:G2,01:E2,02:A2,03:B2,04:0,05:0,06:A2,07:J2,08:0,09:D2,10:H2,11:J2,12:0,13:I2,14:A2,15:H2,16:B2,17:H2,18:H2,19:G2,20:G2,21:J2,22:J2,23:I2,24:0,25:D2,26:0,27:H2,28:I2,29:E2,30:H2,31:I2,32:D2,33:D2,34:F2,35:E2,36:H2,37:0,38:B2,39:I2,40:F2,41:F2,42:I2,43:C2,44:F2,45:D2,46:J2,47:J2,48:A2,49:J2,50:D2,51:B2,52:A2,53:J2,54:F2,55:B2,56:0,57:G2,58:0,59:0,60:B2,61:A2,62:0,63:G2,64:F2,65:D2,66:D2,67:I2,68:G2,69:A2,70:I2,71:I2,72:C2,73:D2,74:G2,75:J2,76:H2,77:B2,78:F2,79:C2,80:A2,81:E2,82:G2,83:G2,
