Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00text,Answer.01text,Answer.02text,Answer.03text,Answer.04text,Answer.05text,Answer.06text,Answer.07text,Answer.08text,Answer.09text,Answer.10text,Answer.11text
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1673,Master keep going on,Fwill keep following ehco,Till my,With truth and loyalty,from sixteen years,till now almost fourscere,Here resided i,but now stay here no more,at sixteen years their fortunes do seek,at fourscere though too late a week,fortune cannot recompense better,than be die not a defitey
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,274,Master keep going on,i will keep following,,With truth and loyality,From sixteen years,,Here resided of,But now stay here no more,At sixteen years their fortunes do seek,,,
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,146,Master keep going on,I will keep following shco,Fill my lost gasp,With truth and loyalty,From sixteen years,Will new almost fourscore,Here resided I,But now stay here no more,As sixteen years their fortunes do seek,At fourscore though too into a week,Fortune cannot recompense better,Time to die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,157,master keep going on,i will keep following thee,till my last gasp,with truth and loyalty,from sixteen years,till new almost fourscore,here resided i,but now stay here no more,at xisteen years their fortunes do seek,at fourscore thou too late a week,fortune cannot recompense better,than to die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,703,Master keep going on,I will keep following thee,Till my last gasp,With truth and loyalty,From sixteen years,Till new afmest feurscere,Here resided  J,But new stay here ne mere,At sixteen years their fertunes de seek,At feurscere theugh tee fate a week,Fertune cannot recompense better,Than to die net a debter
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,139,Master keep going on,I will keep following thee,Till my last gasp,With truth and loyalty,From sixteen years,Till now almost fourscore,Here resided I,But now stay here no more,At sixteen years their fortunes do seek,At fourscore though too late a week,Fortune cannot recompense better,Than to die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,764,master keep going on,i will keep following thee,till my last gasp,with truth and loyalty,from  sixteen years,till new almost foursceen,here resided I,but new stay here be mere,at sixteen years their foutunes do seek,at foursceen through tee late a week,fortune cannot recompense better,than so die not a destny
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,704,Master keep going on,I will keep following thee,Till my last gasp,With truth and loyalty,From sixteen years,Till now almost fourscore,Here resided I,But now stay here no more,At sixteen years their fortunes do seek,At fourscore though too late into a week,Fortune cannot recompense better,Than to die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,571,master keep going on,i will keep following thee,till my last gasp,with trust and loyalty,from sixteen years,till new almost fourscore,here resided i,but now stay here no mere,at sixteen years their fortunes de seek,at fourscore though too late a week,fortune cannot recompense better,than to die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,270,Master keep going on,I will keep following bfico,Till my fase gasp,With truth and loyalty,From sixteen years,Till new almese fourscore,Hero resided I,But now stay here nomore,At sixteen years their fortunes de seek,He fourscore though he once a week,Fortune cannot recompense better,Than u die not a better
