Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00text,Answer.01text,Answer.02text,Answer.03text,Answer.04text,Answer.05text,Answer.06text,Answer.07text,Answer.08text,Answer.09text
Transcribe audio to text (BONUS available) -b,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,1183,is there any person in the world who looks exactly like me,its approach was to take a page text divided into quarters and then read the page across the divisions,this can only deleted by giving the correct password for it,their king asked his item to don't look trough out to night,one should exercise extreme potion wind traveling to unexplored areas,anything that can be litters may be gold,he study again ... history,next science number I would suggest in space,why they conversation are supposed to logics and,you can take a sit and do what you normally do
Transcribe audio to text (BONUS available) -b,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,50,,,,,,,,,,
Transcribe audio to text (BONUS available) -b,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,619,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be deleted by having the correct password for it,the king asked his army to look out throughout the night,one should exercise extreme caution when travelling to unexplored areas,anything that glitters may be gold,history suggests that every thing happens again including history,science and number and space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,324,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,These can only vary while he decode the password for it,The king asked his army to look out throughout the night,One should exercise extreme caution when travelling to unexplored areas,Anything that glitters may be gold,History suggests that every single leader have to again include history,With my keys and metric find this number and space,Life in a topics of conversation art sports politics and movies,You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,300,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only [xx],the king asked [xx],one should exercise extreme caution when traveling to unexplored areas,german,japaneese,something about a number,my favorite of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,597,Is there any person in the world who looks exactly like me?,"His approach was to take a page of text, divide it into quadrants, and then read the page across the divisions.",This can only valided by giving the correct password for it,The king asked his are and it to lo out throughout the night,One should exercise extreme caution when traveling to unexplored areas.,Anything that glitters may be gold!,History suggests that everything will happen again including history.,With mighty piece Annette strick signs this number kavunteja and space,"My favorite topics of conversation are sports, politics, and movies.",You can take a seat and do what you normally do.
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,704,Is there any person in the world who looks exactly like me?,"It's appropriate to take a page of text, divide it into quadrants and then read the page across the divisions",This can only be verified if read the correct password for it,The king asked his to look out through the lanae,One should exercise extreme caution when travelling through unexplored areas,He began to think that little girls may be gold,History suggests that to every singular you have including history,with the stick find this number and once again and space,"Like the topics of conversation are sports, politics and movies",You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,763,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide into quadrants and read the page across the divisions,This can only decorate for it,The king asked his and look out through,one should exercise extreme caution when traveling to unexplored areas,measured in liters maybe in gallon,His study suggests that he english history,we can suggest number and space,conversation are politics,You can take your seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,335,is there any person in the world who looks exactly like me,his approach was to take a page of text and divide it into quadrants and then read the page across the divisions,*non-English*,the king asked (the rest is gibberish),one should exercise extreme caution when traveling to unexplored areas,*non-English*,*non-English*,*ineligible*,*ineligible*,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,589,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,these can only be rated by having the correct password for it,the king asked his army to look out throughout the night,one should exercise extreme caution when traveling to unexplored areas,anything that glitters may be gold,history suggests that everything will happen again including history,with a mighty streak finesse is five its number in space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
