Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,275,00:2,Is there any person in the world who looks exactly like me,01:0,,02:0,,03:0,,04:0,,05:0,,06:0,,07:0,,08:0,,09:0,
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,1000,00:2,Is there any person in the world who looks exactly like me,01:1,its approach was to take a page of text provided in the quadrants and then read the page across the divisions,02:0,,03:0,,04:2,one should exercise extreme caution when travelling to unexplored areas,05:0,,06:0,,07:0,,08:0,,09:2,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,334,00:2,is there any person in te world who looks exactly like me,01:1,his approach was to take a page of text divide it into quadrants and read the page across the divisions,02:0,,03:0,,04:2,one should excersise extreme caution when traveling to unexplored areas,05:0,,06:0,,07:0,,08:0,,09:2,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,236,,,,,,,,,,,,,,,,,,,,
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,479,00:2,is there any person in the world who looks exactly like me,01:1,his approach was to take a page of text divide it into quandrants and then read the page across the divisions,02:0,,03:2,the king asked his army to look out throughout the night,04:2,one should exercise extreme caution when traveling to unexplored areas,05:2,anything that glitters may be gold,06:0,,07:0,,08:2,my favorite topics of conversation are sports politics and movies,09:2,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,1409,00:2,Is there any person in the world who looks exactly like me?,01:2,"His approach was to take a page of text, divide it into quadrants and then read the page across the divisions.",02:0,,03:0,,04:2,One should exercise extreme caution when traveling to unexplored areas.,05:0,,06:0,,07:0,,08:0,,09:2,You can take a seat and do what you normaly do.
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,289,00:2,is there any person in the world who looks exactly like me,01:2,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,02:0,,03:0,,04:2,one should exercise extreme caution when traveling to unexplored areas,05:1,anything that glitters may be gold,06:0,,07:0,,08:2,my favorite topics of conversation are sports politics and movies,09:2,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,385,00:2,is there any person in the world who looks exactly like me,01:2,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,02:0,,03:0,,04:2,one should exercise extreme caution when traveling to unexplored areas,05:1,anything that glitters may be gold,06:0,,07:0,,08:0,,09:2,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,503,00:2,Is there any person in the world who looks exactly like me,01:1,His approach was to take a page of text and divide it into quadrants and read the page across the divisions,02:1,This can only be achieved by obtaining the correct password for it,03:0,,04:2,One should exercisee xtreme caution when traveling to unexplored areas,05:0,,06:1,History suggests that every single event will happen again including history,07:0,,08:1,Likely topics of conversation are sports politics and the news,09:1,You can type a seat and do what you normally do
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,256,00:1,Is there any person in the world who looks exactly like me.,01:1,"His approach is to take a page, next to divide it into quadrums and then read the page across the division",02:0,,03:0,,04:1,One should exercise extreme caution when traveling to unexplored areas.,05:0,,06:0,,07:0,,08:0,,09:0,
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,460,00:2,Is there any person in the world who looks exactly like me.,01:2,"His approach was to take a page of text, divide it into qudrants, and read the page across the divisions.",02:0,,03:0,,04:2,One should exercise extreme caution when traveling to unexplored areas.,05:0,,06:0,,07:0,,08:0,,09:2,You can take a seat and do what you normally do.
Transcribe audio to text (BONUS available) -c,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,477,00:2,is there any person in the world who looks exactly like me,01:1,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,02:0,,03:0,,04:2,one should exercise extreme caution when travelling to unexplored areas,05:1,anything that glitters may be gold,06:0,,07:0,,08:0,,09:2,you can take a seat and do what you normally do
