Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20,Answer.21,Answer.22,Answer.23
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,184,00:B,01:B,02:B,03:F,04:G,05:B,06:G,07:B,08:B,09:C,10:F,11:E,12:F,13:F,14:C,15:G,16:B,17:G,18:B,19:C,20:F,21:B,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,136,00:A,01:B,02:B,03:C,04:A,05:E,06:B,07:B,08:C,09:C,10:B,11:B,12:G,13:F,14:C,15:B,16:B,,18:B,19:C,20:B,21:A,22:B,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,166,00:A,01:B,02:E,03:C,04:F,05:E,06:B,07:B,08:C,09:C,10:B,11:E,12:G,13:F,14:G,15:F,16:C,17:B,18:E,19:C,20:F,21:A,22:F,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,224,00:B,01:E,02:B,03:C,04:A,05:B,06:D,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:B,17:G,18:B,19:C,20:F,21:B,22:G,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,106,00:A,01:E,02:B,03:C,04:F,05:B,06:D,07:B,08:B,09:C,10:F,11:E,12:F,13:F,14:C,15:A,16:B,17:G,18:B,19:C,20:F,21:B,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,184,00:A,01:E,02:B,03:C,04:A,05:D,06:D,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:A,17:D,18:B,19:C,20:F,21:A,22:F,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,157,00:A,01:E,02:E,03:C,04:G,05:G,06:D,07:G,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:G,16:G,17:D,18:B,19:C,20:G,21:G,22:G,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,166,00:C,01:E,02:B,03:C,04:A,05:A,06:D,07:A,08:C,09:C,10:F,11:E,12:A,13:F,14:C,15:A,16:C,17:D,18:B,19:C,20:F,21:C,22:A,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,207,00:E,01:B,02:B,03:C,04:A,05:D,06:D,07:D,08:E,09:C,10:F,11:B,12:G,13:F,14:C,15:F,16:G,17:D,18:E,19:C,20:F,21:G,22:F,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,214,00:A,01:E,02:B,03:C,04:A,05:G,06:D,07:E,08:C,09:C,10:A,11:E,12:G,13:F,14:C,15:G,16:B,17:F,18:B,19:C,20:F,21:A,22:G,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,673,,01:E,02:B,03:C,04:A,05:A,06:C,07:A,08:C,09:C,10:E,11:E,12:G,13:E,14:C,15:A,16:A,17:C,18:B,19:C,20:E,21:A,22:F,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,387,00:A,01:E,02:B,03:C,04:A,05:A,06:A,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:D,16:A,17:G,18:B,19:C,20:E,21:A,22:D,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,277,00:A,01:E,02:B,03:C,04:A,05:B,06:G,07:B,08:B,09:C,10:F,11:E,12:A,13:F,14:C,15:F,16:B,17:G,18:B,19:C,20:F,21:A,22:F,23:F
