Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20,Answer.21,Answer.22,Answer.23
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,120,00:A2,01:B2,02:B2,03:C2,04:A2,05:A2,06:B2,07:B2,08:C2,09:C2,10:F2,11:B2,12:G2,13:F2,14:C2,15:B2,16:A2,17:B2,18:B2,19:C2,20:B2,21:A2,22:A2,23:G2
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,130,00:B2,01:B2,02:E2,03:C2,04:A2,05:B2,06:A2,07:F2,08:C2,09:C2,10:F2,11:B2,12:G2,13:F2,14:C2,15:A2,16:B2,17:D2,18:B2,19:C2,20:E2,21:B2,22:F2,23:F2
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,142,00:0,01:B1,02:B1,03:C1,04:B1,05:A1,06:A1,07:B1,08:0,09:G1,10:B1,11:B1,12:G1,13:F1,14:G1,15:F1,16:B1,17:E1,18:G1,19:G1,20:B1,21:A1,22:A1,23:A1
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,143,00:A1,01:0,02:B1,03:C1,04:0,05:G1,06:0,07:B1,08:B2,09:C1,10:F1,11:E1,12:0,13:F2,14:C1,15:0,16:B1,17:0,18:0,19:C1,20:F1,21:0,22:F1,23:F1
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,147,00:A2,01:E2,02:B2,03:C2,04:A1,05:B2,06:D2,07:B2,08:B2,09:C2,10:F2,11:E2,12:G2,13:F2,14:C2,15:G1,16:B2,17:G1,18:B2,19:C2,20:G2,21:A2,22:G1,23:G2
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,149,00:A1,01:E2,02:B1,03:C2,04:0,05:0,06:D1,07:0,08:B1,09:C2,10:F1,11:E1,12:0,13:F2,14:C1,15:F1,16:B1,17:D1,18:B2,19:C2,20:F2,21:A1,22:F1,23:F1
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,162,00:0,01:0,02:0,03:C2,04:0,05:0,06:0,07:0,08:0,09:C2,10:0,11:0,12:G2,13:F2,14:C2,15:0,16:0,17:0,18:0,19:C2,20:0,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,163,00:A2,01:E2,02:B2,03:C2,04:A1,05:G1,06:D2,07:B1,08:B2,09:C2,10:F2,11:E2,12:G2,13:F2,14:C2,15:A1,16:B2,17:D2,18:B2,19:C2,20:F1,21:A1,22:G1,23:A1
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,170,00:A1,01:E2,02:B1,03:C1,04:0,05:0,06:F1,07:B1,08:B1,09:C1,10:F1,11:E2,12:0,13:F2,14:C1,15:0,16:B1,17:0,18:B1,19:C1,20:F1,21:0,22:D1,23:D1
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,174,00:A1,01:B1,02:0,03:C2,04:0,05:B1,06:B1,07:0,08:0,09:C1,10:B1,11:B1,12:0,13:B2,14:C1,15:0,16:0,17:B1,18:0,19:0,20:B1,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,188,00:A1,01:E1,02:0,03:C1,04:F1,05:0,06:D1,07:A1,08:0,09:C2,10:B1,11:E1,12:G1,13:F2,14:C2,15:G1,16:0,17:D1,18:0,19:C1,20:F1,21:0,22:F1,23:F1
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,209,00:A1,01:E1,02:B1,03:C2,04:A1,05:B1,06:G1,07:B1,08:B2,09:C2,10:F2,11:E2,12:G2,13:F2,14:C2,15:F1,16:B1,17:G1,18:B2,19:C2,20:F2,21:0,22:F1,23:G1
