Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20,Answer.21,Answer.22,Answer.23
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,215,00:A,01:B,02:B,03:C,04:G,05:B,06:G,07:B,08:0,09:C,10:B,11:B,12:0,13:G,,,16:B,17:G,18:B,19:C,,21:G,,23:B
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,104,00:A,01:E,02:B,03:C,04:A,05:0,06:D,07:F,08:C,09:C,10:F,11:E,12:G,13:F,,15:F,,,18:0,19:C,20:E,21:A,22:F,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,150,00:A,01:E,02:B,03:C,04:0,05:0,06:D,07:0,08:B,09:C,10:0,11:E,12:0,13:F,14:C,15:0,16:0,17:0,18:B,19:C,20:0,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,433,00:0,01:0,02:0,03:0,04:0,05:0,06:0,07:0,08:0,09:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,236,00:G,01:E,02:B,03:C,04:A,05:B,06:D,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:A,16:B,17:0,18:B,19:C,20:0,21:0,22:0,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,188,00:A,01:E,02:F,03:0,04:A,05:B,06:0,07:B,08:B,09:0,10:F,11:E,12:G,13:F,14:C,15:0,16:A,17:G,18:F,19:C,20:F,21:0,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,314,00:0,01:B,02:0,03:0,04:F,05:0,06:D,07:0,08:0,09:C,10:A,11:B,12:G,13:0,14:C,15:A,16:0,17:0,18:0,19:C,20:B,21:0,22:F,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,3446,00:A,01:E,02:B,03:C,04:A,05:B,06:D,07:B,08:B,09:C,10:F,11:E,12:0,13:B,14:C,15:A,16:0,17:D,18:B,19:C,20:E,21:A,22:D,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,167,00:A,01:E,02:0,03:C,04:0,05:B,06:0,07:B,08:C,09:C,10:0,11:E,12:0,13:F,14:C,15:0,16:0,17:0,18:0,19:C,20:E,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,368,00:A,01:E,02:E,03:C,04:A,05:E,06:D,07:E,08:A,09:C,10:E,11:E,12:G,13:B,14:C,15:A,16:A,17:D,18:B,19:C,20:B,21:A,22:A,23:E
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,166,00:0,01:0,02:0,03:0,04:0,05:0,06:0,07:0,08:0,09:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,118,00:A,01:E,02:B,03:C,04:A,05:F,06:G,07:B,08:B,09:C,10:B,11:E,12:G,13:F,14:C,15:F,16:B,17:G,18:B,19:C,20:F,21:A,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,532,00:B,01:E,02:B,03:C,04:G,05:D,06:D,07:D,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:B,17:D,18:B,19:C,20:F,21:0,22:F,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,170,00:A,01:0,02:B,03:C,04:0,05:B,06:0,07:0,08:B,09:C,10:0,11:E,12:G,13:F,14:C,15:0,16:B,17:G,18:B,19:C,20:0,21:A,22:0,23:0
