Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00text,Answer.01text,Answer.02text,Answer.03text,Answer.04text,Answer.05text,Answer.06text,Answer.07text,Answer.08text,Answer.09text,Answer.10text
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,399,Unrestricted Jublic,Exhibition thoughtout the,country suitable for all age,groups  Films under the,category should not affect,children for ever  Such film,may contain educational,or family oriented themes,Films under this category may,also contain fantasy evidence,and a mild nad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,132,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups.  Films under this,category should not upset,children over four.  Such films,may contain educational,or family-oriented themes.,Films under this category may,also contain fantasy violence,and/or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,634,Unristricted Public,Exihibition throughout the,country suitable for all age,group films under the,category sould not upset,children over four such films,may contain eductional social,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,357,unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational real,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,415,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups.  Films under the,category should not upset,children over four.  Such films,may contain educational and,or family-oriented themes,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1226,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups Films under this,category should not upset,children over four Such films,may contain educational content,or family-oriented themes,Films under this category may,also contain fantasy violence,and/or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,2130,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups. Films under this,category should not upset,children over four. Such films,may contain educational scene.,or family-oriented themes.,Films under this category may,also contain fantasy violence,and/or mild bad language.9999+69
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1249,Unrestricted Public,Exhibition throughout the,country suitable for all age,group Films under this,category should not,children over four such,may contain educatonal,or family oriented theme,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,456,unrestricted public,exhibition throughout the,country suitable for all age,group films under the,category should not upon,children ever four. fuch the,may contain educational,a family-oriented themes,films under this category may,also contain fantasy violines,and a mild bad languages
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,303,Unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational social,or family oriented themes,films under this category may,also contain fantasy violence,and or mild bad lanugage
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,134,unrestricted public,exhibition throughout the,country suitable for all age,groups.  films under the,category should not upset,children over four. such films,may contain educational,or family-oriented themes.,films under this category may,also contain fantasy violence,and/or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,291,Unrestricted Public,exhibition throughout the,country suitable for all age,groups Films under this,category should not upset,children over four. Such films,may contain educational social,or family-oriented themes.,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,189,unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational real,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad language
