Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text,Answer.10,Answer.10text
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,334,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:1,country suitable for all age,03:2,groups. Films under this,04:1,category should not upset,05:1,children over four. Such films,06:0,,07:1,or family-oriented themes,08:1,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,841,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups Films under this,04:2,category should not upset,05:2,children over four Such films,06:1,may contain educational and,07:2,or family-oriented themes,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,579,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups Films under this,04:2,category should not upset,05:2,children over four Such films,06:1,may contain educational social,07:2,or family oriented themes,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,540,00:0,,01:2,Exhibition throughout the,02:1,country suitable for all age,03:0,,04:2,category should not upset,05:0,,06:0,,07:2,or family-oriented  themes,08:2,Fibres under this category may,09:0,,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,336,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all ages,03:2,groups. Films under this,04:2,category should not upset,05:2,children over four. Such films,06:0,,07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,191,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups. Films under this,04:2,category should not upset,05:2,children over four. Such films,06:2,may contain educational and/or,07:2,family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and/or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,557,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:1,groups. Films under this,04:1,category should not upset,05:1,children over four. Such films,06:1,"may contain educational, social",,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,285,00:2,Unristricted Public,01:2,Exhibition throughout the,02:1,occrtly suitable for all age,03:1,guugr Filnou under the,04:2,category should not upset,05:1,"Children are four, such",06:1,may antain docution,07:1,a family-orineted thems.,08:2,Fitness under this category may.,09:1,Also contain fantasy uilsnce,10:2,and a mild bad laguage
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,260,00:1,unrestricted pubtic,01:2,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under the,04:1,category should not upset,05:0,,06:0,,07:1,or family-oriented themes,08:2,films under this category may,09:1,also contain fantasy existence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,301,00:1,Unrestricted public,01:1,exhibition throughout the,02:1,country vitable for all age,03:1,groups. Films under the,04:1,category should not upon,05:1,chidren over four. Such films,,may contain educational occur!,,,,,,,,
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,538,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups Films under this,04:2,category should not upset,05:1,children over four Such films,06:0,,07:2,or family-oriented themes,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1144,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups. Films under the,04:2,category should not upto,05:2,children over four. Such films,06:2,may contain educational and,07:2,a family-oriented themes,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and a mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,169,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under the,04:1,category should not upset,05:1,children under four. Such that,06:1,may contain education.,07:1,a family-oriented theme.,08:1,Films under this category may,09:1,also contain fantasy silence,10:1,and a mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,253,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups. Films under this,04:2,category should not upset,05:2,children over four. Such films,06:2,may contain educational and,07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,811,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups.  Films under this,04:2,category should not upset,05:2,children over four.   Such films,06:0,,07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,802,00:2,Unrestricted Public,01:2,Exibition throughout the,02:2,country suitable for all age,03:2,groups. Films under this,04:2,cateogory should not upset,05:2,children over four. Such films,06:1,may contain educational,07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,626,00:2,unrestricted public,01:2,exhibition throughout the,02:2,country suitable for all age,03:2,groups films under this,04:1,category should not upset,05:1,children over four such films,06:0,,07:2,or family-oriented themes,08:2,films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,376,00:2,Unrestricted Public,01:2,exhibition throughout the,02:2,country suitable for all age,03:1,goups films under this,04:2,category should not upset,05:0,,06:0,,07:2,or family-oriented themes,08:2,films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,251,00:2,unrestricted public,01:2,exhibition throughout the,02:2,country suitable for all age,03:2,groups films under this,04:2,category should not upset,05:1,children even four. Such films,06:0,,07:2,or family oriented themes,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,392,00:2,Unrestricted public,01:2,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:1,children over four such films,06:1,may contain educational sexual,07:2,or family oriented themes,08:2,films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1735,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under this,04:1,category should not upset,05:0,,06:0,,07:1,or family-oriented themes.,08:1,Films under this category may,09:0,,10:1,and or mild bad languags.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,406,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups films under the,04:2,category should not upsets,05:2,children over four such films,06:0,,07:2,or family-oriented themes,08:2,films under this category may,09:2,also contain fantasy evidence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,359,00:1,Unrestricted Puble,01:1,Exhibition throughtout the,02:1,country suiteable for all age,03:1,groups.  Films under this,04:1,category should no upset,05:1,children over four.  Such films,06:0,,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,157,00:0,,01:0,,02:0,,03:0,,04:0,,05:0,,06:0,,07:0,,08:0,,09:0,,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,189,00:2,unrestricted public,01:2,exhibition throughout the,02:2,country suitable for all age,03:2,groups films under this,04:2,category should not upset,05:1,children over four such films,06:1,may contain educational and/,07:2,or family-oriented themes,08:2,films under this category may,09:2,also contain fantasy violence,10:2,and/or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,763,00:2,Unrestriced Public,01:2,exhibition throughout the,02:1,country suitable for all age,03:2,groups.  Films under this,04:1,category should not upset,05:2,children over four.  Such films,06:1,may contain educational and,07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,179,00:0,,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups Films under this,04:2,category should not upset,05:2,children over four Such films,06:0,,07:2,or family-oriented themes,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and a mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,610,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:1,group films under this,04:2,category should not upset,05:1,children over four such films,06:1,may contain educational soul,07:1,or family-oriented themes,08:2,films under this category may,09:1,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,793,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups Films under this,04:2,category should not upset,05:2,children over four Such films,06:2,may contain educational social,07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,431,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups. Films under this,04:2,category should not upset,05:2,children over four. Such films,06:2,"may contain educational, social",07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,374,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups. Films under this,04:2,category should not upset,05:2,children over four. Such films,06:1,may contain educational and,07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad languauge
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,290,00:2,unrestricted public,01:2,exhibition throughout the,02:0,,03:0,,04:0,,05:0,,06:0,,07:0,,08:2,films under this category may,09:2,also contain fantasy voilence,10:0,
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,151,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups.  Films under this,04:2,category should not upset,05:2,children over four. Such films,06:2,"may contain educational, social",07:2,or family-oriented themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,226,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups Films under this,04:2,category should not upset,05:1,children over four Such films,06:2,may contain educational and,07:2,or family-oriented themes,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and of mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,394,00:2,Unrestricted Public,01:2,Exhibition throughout the,02:2,country suitable for all age,03:2,groups. Films under this,04:2,Category should not upset,05:1,children over four. Tuck films,06:1,may contain educational and,07:2,or family-orientated themes.,08:2,Films under this category may,09:2,also contain fantasy violence,10:2,and/or a mild bad language
