Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,372,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,168,00:D2,01:D2,02:A2,03:0,,05:0,06:D1,07:0,08:0,09:D2,10:D2,11:A2,12:D2,13:D2,14:D2,15:0,16:0,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,173,00:D2,01:D2,02:A2,03:A2,04:A2,05:0,06:A2,07:A2,08:0,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:0,16:0,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,284,00:B2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:0,09:0,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,1078,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:D2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,61,00:D2,01:D2,02:A2,03:0,04:0,05:0,06:A2,07:A2,08:0,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:0,16:0,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,850,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,,14:D2,15:D2,16:D2,17:B2,18:A2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,312,00:D2,01:D2,02:A2,03:A2,04:A1,05:0,06:A2,07:A2,08:0,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:0,16:0,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,447,00:D2,01:A2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,165,00:D2,01:D2,02:A2,03:A2,04:D2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:D1,18:D1,19:D1
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,318,00:B2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,200,00:B1,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:0,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:0,16:D2,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,114,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:0,16:D2,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,389,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:C1,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B1
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,209,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:0,18:B2,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,423,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,332,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:0,16:D2,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,357,00:B2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:D2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,873,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,424,00:D1,01:D1,02:A2,03:A2,04:A2,05:D1,06:A2,07:A2,08:D1,09:D1,10:A2,11:A2,12:0,13:0,14:0,15:D1,16:D1,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,180,00:B1,01:D2,02:A2,03:A1,04:A1,05:D1,06:A2,07:D1,08:0,09:D2,10:A2,11:A2,12:D2,13:0,14:D2,15:0,16:D2,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,266,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:D2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,156,00:A1,01:C1,02:A1,03:C2,04:C2,05:A1,06:C1,07:A1,08:A1,09:C1,10:A1,11:A1,12:A1,13:A1,14:A1,15:A1,16:A1,17:A1,18:B1,19:B1
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,344,00:D2,01:D2,02:A2,03:D2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:D2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:D2,19:D2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,422,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:A2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,90,00:B1,01:D2,02:A2,03:A2,04:0,05:D2,06:A2,07:A2,08:0,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:0,16:D2,17:B1,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,165,00:D2,01:D2,02:A2,03:A2,04:C1,05:C1,06:A2,07:A2,08:C1,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:C1,16:D2,17:B1,18:B1,19:B1
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,328,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,220,00:D2,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D1,09:D1,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:B2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,289,00:D1,01:D2,02:A2,03:A2,04:A2,05:D2,06:A2,07:A2,08:D2,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D2,16:D2,17:B2,18:B2,19:D2
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,517,00:D2,01:D2,02:A2,03:A2,04:0,05:D2,06:A2,07:A2,08:0,09:D2,10:A2,11:A2,12:D2,13:D2,14:D2,15:D1,16:D1,17:0,18:B2,19:0
