Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20,Answer.21,Answer.22,Answer.23,Answer.24,Answer.25,Answer.26,Answer.27,Answer.28,Answer.29,Answer.30,Answer.31,Answer.32,Answer.33,Answer.34,Answer.35,Answer.36,Answer.37,Answer.38,Answer.39,Answer.40,Answer.41,Answer.42,Answer.43,Answer.44,Answer.45,Answer.46,Answer.47,Answer.48,Answer.49,Answer.50,Answer.51,Answer.52,Answer.53,Answer.54,Answer.55,Answer.56,Answer.57,Answer.58,Answer.59,Answer.60,Answer.61,Answer.62,Answer.63,Answer.64,Answer.65,Answer.66,Answer.67,Answer.68,Answer.69,Answer.70,Answer.71,Answer.72,Answer.73,Answer.74,Answer.75,Answer.76,Answer.77,Answer.78,Answer.79,Answer.80,Answer.81,Answer.82,Answer.83,Answer.84
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,374,00:G,01:E,02:A,03:0,04:C,05:E,06:A,07:0,08:C,09:D,10:0,11:J,12:C,13:I,14:0,15:H,16:B,17:H,18:H,19:G,20:G,21:J,22:J,23:I,24:E,25:D,26:E,27:H,28:I,29:E,30:H,31:I,32:D,33:D,34:F,35:E,36:H,37:E,38:B,39:I,40:F,41:F,42:I,43:C,44:F,45:D,46:J,47:J,48:A,49:J,50:D,51:B,52:A,53:J,54:F,55:B,56:E,57:G,58:C,59:F,60:B,61:A,62:C,63:G,64:F,65:D,66:D,67:I,68:G,69:A,70:I,71:I,72:C,73:D,74:G,75:J,76:H,77:B,78:F,79:C,80:A,81:C,82:G,83:G,84:F
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,766,00:G,01:E,02:A,03:0,04:0,05:C,06:A,07:J,08:0,09:D,10:D,11:J,12:0,13:I,14:A,15:H,16:B,17:H,18:H,19:G,20:G,21:J,22:J,23:I,24:0,25:D,26:0,27:H,28:I,29:0,30:0,31:I,32:D,33:D,34:F,35:0,36:H,37:0,38:B,39:I,40:F,41:F,42:I,43:0,44:F,45:D,46:J,47:J,48:A,49:J,50:D,51:B,52:A,53:J,54:F,55:B,56:0,57:G,58:0,59:0,60:B,61:A,62:0,63:G,64:F,65:D,66:D,67:I,68:G,69:A,70:I,71:I,72:0,73:D,74:G,75:J,76:H,77:B,78:F,79:0,80:A,81:0,82:G,83:G,84:F
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,1097,00:G,01:C,02:A,03:B,04:C,05:C,06:A,07:J,08:C,09:D,10:H,11:J,12:C,13:I,14:A,15:H,16:B,17:H,18:H,19:G,20:G,21:J,22:J,23:I,24:E,25:D,26:C,27:H,28:I,29:E,30:H,31:I,32:D,33:D,34:F,35:E,36:H,37:E,38:B,39:I,40:F,41:F,42:I,43:C,44:F,45:D,46:I,47:J,48:A,49:J,50:D,51:B,52:A,53:J,54:F,55:B,56:C,57:G,58:C,59:F,60:B,61:A,62:C,63:G,64:F,65:D,66:D,67:I,68:G,69:A,70:I,71:I,72:C,73:D,74:G,75:J,76:H,77:B,78:F,79:C,80:A,81:E,82:G,83:G,84:F
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,1971,00:G,01:0,02:A,03:B,04:0,05:0,06:A,07:J,08:C,09:D,10:0,11:J,12:0,13:I,14:A,15:H,16:B,17:H,18:H,19:G,20:G,21:J,22:J,23:I,24:E,25:D,26:E,27:H,28:I,29:E,30:H,31:I,32:D,33:G,34:F,35:E,36:H,37:E,38:F,39:I,40:F,41:F,42:I,43:C,44:F,45:H,46:J,47:I,48:A,49:I,50:0,51:B,52:A,53:J,54:F,55:B,56:E,57:G,58:E,59:F,60:B,61:A,62:C,63:G,64:F,65:G,66:G,67:I,68:G,69:A,70:I,71:I,72:E,73:D,74:0,75:J,76:H,77:B,78:F,79:0,80:A,81:E,82:G,83:G,84:F
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,652,00:G,01:0,02:0,03:0,04:C,05:0,06:0,07:0,08:0,09:D,10:0,11:0,12:0,13:I,14:0,15:0,16:B,17:H,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0,26:0,27:0,28:0,29:0,30:0,31:0,32:0,33:0,34:F,35:0,36:0,37:0,38:0,39:0,40:0,41:0,42:0,43:0,44:0,45:0,46:0,47:0,48:A,49:0,50:0,51:0,52:0,53:J,54:0,55:0,56:0,57:0,58:0,59:0,60:0,61:0,62:E,63:0,64:0,65:0,66:0,67:0,68:0,69:0,70:0,71:0,72:0,73:0,74:0,75:0,76:0,77:0,78:0,79:0,80:0,81:0,82:0,83:0,84:0
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,244,00:0,01:0,02:0,03:0,04:0,05:0,06:0,07:0,08:0,09:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0,26:0,27:0,28:0,29:0,30:0,31:0,32:0,33:0,34:0,35:0,36:0,37:0,38:0,39:0,40:0,41:0,42:0,43:0,44:0,45:0,46:0,47:0,48:0,49:0,50:0,51:0,52:0,53:0,54:0,55:0,56:0,57:0,58:0,59:0,60:0,61:0,62:0,63:0,64:0,65:0,66:0,67:0,68:0,69:0,70:0,71:0,72:0,73:0,74:0,75:0,76:0,77:0,78:0,79:0,80:0,81:0,82:0,83:0,84:0
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,728,00:G,01:0,02:A,03:B,04:C,05:0,06:A,07:J,08:0,09:D,10:0,11:0,12:0,13:I,14:A,15:H,16:B,17:H,18:H,19:G,20:G,21:0,22:0,23:I,24:E,25:D,26:C,27:H,28:0,29:0,30:0,31:0,32:D,33:D,34:F,35:0,36:H,37:0,38:B,39:0,40:F,41:F,42:0,43:E,44:F,45:D,46:0,47:0,48:A,49:0,50:D,51:B,52:A,53:0,54:F,55:B,56:0,57:G,58:0,59:F,60:B,61:A,62:0,63:G,64:F,65:0,66:D,67:0,68:G,69:A,70:0,71:0,72:0,73:D,74:G,75:0,76:H,77:B,78:F,79:0,80:A,81:0,82:G,83:G,84:F
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,239,00:0,01:0,02:0,03:0,04:0,05:0,06:0,07:0,08:0,09:D,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0,26:0,27:0,28:0,29:0,30:0,31:0,32:0,33:0,34:F,35:0,36:0,37:0,38:0,39:0,40:F,41:F,42:0,43:0,44:F,45:0,46:0,,48:0,49:0,50:0,51:0,52:0,53:0,54:F,55:0,56:0,57:0,58:0,59:0,60:0,61:0,62:0,63:0,64:F,65:0,66:0,67:0,68:0,69:0,70:0,71:0,72:0,73:0,74:0,75:0,76:0,77:0,78:0,79:0,80:0,81:0,82:0,83:0,84:F
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,1223,00:G,01:0,02:A,03:B,04:C,05:E,06:A,07:J,08:0,09:D,10:H,11:J,12:C,13:I,14:A,15:H,16:B,17:H,18:H,19:G,20:G,21:J,22:J,23:I,24:E,25:D,26:0,27:H,28:I,29:E,30:H,31:I,32:D,33:D,34:F,35:E,36:H,37:E,38:B,39:I,40:F,41:F,42:I,43:E,44:F,45:D,46:J,47:J,48:A,49:J,50:D,51:B,52:A,53:J,54:F,55:B,56:E,57:G,58:C,59:0,60:B,61:A,62:C,63:G,64:F,65:D,66:D,67:I,68:G,69:A,70:I,71:I,72:C,73:D,74:G,75:J,76:H,77:B,78:F,79:C,80:A,81:E,82:G,83:G,84:F
Identify Dog Breeds (Huge BONUS),Identify the breeds of the dogs shown,"Huge BONUS, dog, breed, classify",$0.05,21600,391,00:G,01:0,02:A,03:B,04:0,05:0,06:A,07:J,08:0,09:D,10:0,11:J,12:0,13:I,14:A,15:H,16:B,17:H,18:H,19:G,20:G,21:J,22:J,23:I,24:0,25:D,26:0,27:H,28:0,29:0,30:H,31:I,32:D,33:D,34:F,35:0,36:H,37:0,38:B,39:I,40:F,41:F,42:I,43:0,44:F,45:D,46:0,47:J,48:A,49:J,50:D,51:B,52:A,53:J,54:F,55:B,56:0,57:G,58:0,59:F,60:B,61:A,62:0,63:G,64:F,65:D,66:D,67:I,68:G,69:A,70:I,71:I,72:0,73:D,74:G,75:J,76:H,77:B,78:F,79:0,80:A,81:0,82:G,83:G,84:F
