Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text,Answer.10,Answer.10text,Answer.11,Answer.11text
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,303,00:1,Master keep going on,01:2,I will keep following thee,02:2,till my last gasp,03:2,with truth and loyalty,04:2,from sixteen years,05:0,,06:2,Here resided I,07:2,but now stay here no more,08:1,At sixteen years their fortunes do seek,09:1,At fourscore through to hate a week,10:1,Fortune cannot recompense better,11:2,Then to die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,351,00:2,master keep going on,01:1,i will keep following thee,02:2,till my last gasp,03:2,with truth and loyalty,04:2,from sixteen years,05:0,,06:1,here resided i,07:2,but now stay here no more,08:2,at sixteen years their fortunes do seek,09:0,,10:2,fortune cannot recompense better,11:1,than to die not a debter
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,471,00:2,master keep going on,01:2,i will keep following thee,02:2,till my last gasp,03:2,with truth and loyalty,04:2,from sixteen years,05:2,till now almost four fourscore,06:2,here resided i,07:2,but now stay here no more,08:2,at sixteen years their fortunes do seek,09:0,,10:2,fortune cannot recompense better,11:2,than to die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,367,00:2,Master keep going on,01:1,i will keep following bhee,02:1,fill my jase gasy,03:1,with truth and joyality,04:2,from sixteen years,05:1,fill new atmost fourscere,06:1,here resided i,07:1,but new stay here ne mere,08:1,at sixteen years their fortunes de seek,09:1,at fourscere though too fate a work,10:1,fortune cannot recompense better,11:1,from se die nt a dehter
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,320,00:1,Master keep going on,01:1,I will keep following theo,02:1,Till my last gasp,03:1,With truth and loyalty,04:2,From sixteen years,05:0,,06:0,,07:2,But now stay here no more,08:1,At sixteen years their fortunes do seek,09:1,At fourscero though tee into a week,10:2,Fortune cannot recompense better,11:1,Than be die net a delite
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,912,00:2,master keep going on,01:1,i will keep following the,02:2,fill my last gasp,03:2,with truth and loyalty,04:2,from sixteen years,05:0,,06:2,here resided i,07:2,but new stay here no more,08:2,at sixteen years their fortunes do seek,09:0,,10:2,fortune cannot recompense better,11:0,
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,383,00:2,Master keep going on,01:2,I will keep following thou,02:2,Fill my last gasp,03:2,With truth and loyalty,04:2,From sixteen years,05:1,Fill new abrest fourscore,06:2,Here resided I,07:2,But new stay here no more,08:1,A sixteen years their fortunes I seek,09:1,A fourscore though too late a week,10:1,Fortune cannot recompense better,11:1,Than to die not a debter
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1753,00:2,Master keep going on,01:1,I will keep following they,02:1,Till my last gasp,03:2,With truth and legally,04:2,From sixteen years,05:1,Fill new almost fourscore,06:1,Here resided of,07:2,But now stay here no more,08:2,At sixteen years their fortunes de seek,09:1,At fourscore though too into a week,10:2,Fortune cannot recompense better,11:2,Than be die not a debtor
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,98,00:2,Master Keep going on,01:2,i ill keep following thee,02:2,till my last gasp,03:2,with truth and loyalty,04:2,from sixteen years,05:2,till now almost fourscore,06:2,here resided I,07:2,But now stay here no more,08:2,At sixteen years their fortunes do seek,09:2,At fourscore though too late a week,10:2,Fortune cannot recompense better,11:1,than to die not a debter
Transcribe image to text (BONUS available),Type out the 12 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,625,00:2,Master keep going on,01:0,,02:2,Till my last gasp,03:2,With truth and loyalty,04:2,From sixteen young,05:0,,06:2,Here resided I,07:1,But new stay here no mere,,At sixteen years their fortunes de seek,09:0,,,Fortune cannot recompenso better,11:0,
