Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text,Answer.10,Answer.10text
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,307,00:0,,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups.Films under this,04:0,,05:0,,06:0,,07:1,a family oriented theme,08:1,Films under this category may,09:0,,10:1,and a mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,275,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups Films under the,04:1,category should not upon,05:1,children over four.  Such from,06:1,may certain educations well,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and a mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,256,00:1,Unrestricted Public,01:1,Exhibition throughtout the,02:1,country suitable for all age,03:1,groups. Films under this,04:1,category should not upset,05:1,children over four. Such films,06:1,may contain educational and,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,120,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups.  Films under this,04:1,category should not upset,05:1,children over four. Such films,06:1,may contain educational and,07:1,family-oriented thems.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and/or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,325,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country vitable for all age,03:1,groups film under the,04:0,,05:0,,06:0,,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad langauge
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,267,00:1,unrestricted public,01:1,exhibition throughout the,02:0,,03:1,group. films under this,04:1,category should not upset,05:1,children over four. such film,06:0,,07:1,or family-oriented themes,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,542,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups.  Films under this,04:1,category should not upset,05:1,children over four.  Such films,06:0,,07:1,or family oriented themes,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,273,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,group. Films under the,04:1,category should not up,05:0,,06:0,,07:1,or family-oriented themes,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,803,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,group. Films under the,04:1,category should not upset,05:1,children over four. Such films,06:0,,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,212,00:1,Unrestricted Public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:1,children over four such films,06:0,,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
