Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,299,00:0,01:D,02:A,03:0,04:0,05:0,,07:A,08:0,09:D,10:A,11:A,12:D,13:D,14:D,15:0,16:D,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,392,00:D,01:A,02:A,03:A,04:A,05:D,06:A,07:A,08:0,09:D,10:A,11:A,12:0,13:D,14:0,15:D,16:0,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,322,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:A
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,409,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,288,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,312,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,144,00:D,01:D,02:A,03:A,04:A,05:0,06:A,07:A,08:0,09:D,10:A,11:A,12:D,13:D,14:D,15:0,16:D,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,429,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,461,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,266,00:0,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,335,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:0,09:D,10:A,,12:D,13:D,14:D,15:0,16:D,17:B,18:B,19:D
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,296,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:0,13:0,14:0,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,554,00:0,01:A,02:A,03:A,04:A,05:0,06:A,07:A,08:0,09:0,10:A,11:A,12:A,13:0,14:0,15:0,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,360,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,202,00:D,01:D,02:A,03:0,04:0,05:0,06:A,07:0,08:0,09:0,10:0,11:A,12:0,13:0,14:0,15:0,16:0,17:B,18:B,19:D
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,398,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,362,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:0,16:0,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,539,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,240,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:D
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,433,00:D,01:D,02:A,03:A,04:A,05:D,06:A,,08:A,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,375,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,855,00:D,01:D,02:A,03:A,04:D,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,499,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,308,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:0,13:D,,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,140,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:0,09:D,10:A,11:A,12:D,13:D,14:D,15:0,16:D,17:0,18:0,19:0
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,818,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,687,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,710,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,450,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,65,00:B,01:A,02:A,03:A,04:A,05:A,06:A,07:A,08:0,09:0,10:A,11:A,12:A,13:A,14:A,15:A,16:A,17:B,18:B,19:B
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,261,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:D,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:A
Identify Heads of Countries (BONUS available),"For every person, mark if he/she was/is president or prime minister","BONUS, president, prime minister, country, bonus",$0.02,1800,379,00:D,01:D,02:A,03:A,04:A,05:D,06:A,07:A,08:0,09:D,10:A,11:A,12:D,13:D,14:D,15:D,16:D,17:B,18:B,19:B
