Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text,Answer.10,Answer.10text,Answer.11,Answer.11text,Answer.12,Answer.12text,Answer.13,Answer.13text,Answer.14,Answer.14text,Answer.15,Answer.15text,Answer.16,Answer.16text,Answer.17,Answer.17text
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,476,00:2,NVRLKBK,01:0,,02:2,ONURKNZ,03:2,WSHURME,04:2,BADTREKI,05:0,,06:2,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:2,HRZPWR,14:1,JOMTYTE,15:0,,16:1,WUPKH8R,17:2,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,313,00:1,nvrlkbk,01:0,,02:1,onurknz,03:1,wshurme,04:2,badtreki,05:0,,06:1,ezduz1t,07:0,,08:2,wat401k,09:0,,10:0,,11:1,glorp,12:2,lrd vbr,13:1,hrzpwr,14:2,jdmtyte,15:0,,16:2,wupkh8r,17:2,20ten ss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,262,00:2,NVRLKBK,01:0,,02:1,0NURKNZ,03:1,WSRURME,04:2,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B345T,08:1,KAT401K,09:0,,10:0,,11:1,GLORP,12:1,EROV8R,13:1,HRZPWR,14:2,JDMTYTE,15:0,,16:2,WURKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,344,00:1,NVRLKBK,01:0,,02:1,ONURKNZ,03:1,WSHURME,04:2,BADTREKI,05:0,,06:1,EZDUZI7,07:1,83451,08:1,WAT401K,09:0,,10:0,,11:1,GLORR,12:1,ERD V8A,13:1,HRZPWR,14:1,JOHTYTE,15:0,,16:1,WURKH8R,17:2,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,143,00:2,NVRLKBK,01:0,,02:1,ONURKN7,03:2,WSHUPME,04:2,BADTREK1,05:0,,06:2,EZDUZIT,07:1,B14ST,08:1,YAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRD-V8R,13:2,HRZPWR,14:2,JDMTYTE,15:0,,16:2,WUPKH8R,17:1,2OTEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,380,00:1,nvrlkbk,01:0,,02:1,onurkn7,03:1,wshurme,04:2,badtreki,05:0,,06:1,ezduzit,07:1,b34st,08:1,wat401k,09:0,,10:0,,11:1,glorp,12:1,lrdv8r,13:1,hrzpwr,14:1,jdmtyte,15:0,,16:1,wurkh8r,17:1,2otenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,672,00:2,NYRLKBK,01:0,,02:2,INURKNZ,03:1,WSHURMC,04:2,BADTREKI,05:0,,06:1,EZDUZI7,07:0,,08:1,AT401K,09:0,,10:0,,11:1,GLORP,12:1,LRD-VER,13:1,HRZPWR,14:2,JONTYTE,15:0,,16:2,WUPKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,336,00:1,NVRLKBK,01:0,,02:1,0NURKN7,03:1,WSHURME,04:2,BADTREKI,05:0,,06:2,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:0,,10:0,,11:2,GLORP,12:0,,13:1,HRZPWR,14:2,JDMTYTE,15:0,,16:1,WURKH8R,17:1,20TEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,304,00:2,NVRLKBK,01:0,,02:1,ONURKNZ,03:2,WSHURME,04:2,BADTREKI,05:0,,06:2,EZDUZIT,07:1,8345T,08:2,WAT401K,09:1,HBLAS,10:0,,11:2,GLORP,12:1,LRDVBA,13:2,HRZPWR,14:2,JDMTYTE,15:0,,16:1,WUPKH8R,17:2,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,195,00:2,NVRLKBK,01:0,,02:2,DNURKNZ,03:2,WSHURNE,04:2,BADTREKI,05:1,RAWRRR,06:2,EZDUZIT,07:2,B3451,08:2,WAT401K,09:0,,10:0,,11:0,,12:2,LRDVBR,13:2,HRZPWR,14:2,JDNTYTE,15:1,WARTHOG,16:2,WUPKH8R,17:2,2STENSS
