Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text,Answer.10,Answer.10text,Answer.11,Answer.11text,Answer.12,Answer.12text,Answer.13,Answer.13text,Answer.14,Answer.14text,Answer.15,Answer.15text,Answer.16,Answer.16text,Answer.17,Answer.17text
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,517,00:1,NVRLKBK,01:0,,02:0,,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:0,,12:1,LRDV8R,13:0,,14:1,JDMTYTE,15:0,,16:1,WURKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,186,00:1,NVRLKBK,01:1,UB2SLOW,02:1,ONURKNZ,03:0,,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRDV8R,13:1,HRZPWR,14:0,,15:0,,16:1,WURKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,174,00:1,NVRLKBK,01:0,,02:0,,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:0,,10:0,,11:0,,12:1,LRD-V8R,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WURKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,645,00:1,nvrlkbk,01:0,,02:1,0nurknz,03:1,wshurme,04:1,badtreki,05:0,,06:1,ezsuzit,07:1,b34st,08:1,wat401k,09:0,,10:0,,11:0,,12:1,lrdv8r,13:0,,14:1,jdmtyte,15:0,,16:1,wurkh8r,17:1,20tenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,325,00:1,NVRLKBK,01:0,,02:0,,03:1,WSEUEME,04:1,BADTREKI,05:0,,06:1,EZ00ZIT,07:1,834ST,08:1,KATA01K,09:0,,10:0,,11:1,GLORR,12:0,,13:0,,14:1,JOHTYTE,15:0,,16:1,WUPKH8R,17:1,20TEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,304,00:1,NVRLKBK,01:0,,02:0,,03:0,,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:1,H8 GAS,10:0,,11:1,GLORP,12:1,LRD V8R,13:1,HRZPWR,14:1,JDMTYTE,15:1,WARTHOG,16:1,WURKH8R,17:1,20TEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,85,00:1,NVRLKBK,01:0,,02:0,,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:0,,09:0,,10:0,,11:0,,12:1,LRD-V8R,13:0,,14:1,JDMTYTE,15:0,,16:0,,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,151,00:1,NVRLKBK,01:0,,02:0,,03:1,WSHURME,04:1,BEDTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:0,,09:0,,10:0,,11:0,,12:0,,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:0,,17:1,20TEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,512,00:1,NVRLKBK,01:0,,02:1,0NURKNZ,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRD-V8A,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WUPKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,208,00:1,NVRLKBK,01:0,,02:1,0NURKN&,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRDV8R,13:1,HRZPWR,14:0,,15:0,,16:1,WURKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,256,00:1,nvrlkbk,01:0,,02:1,onurkn7,03:1,wshurme,04:1,badtreki,05:0,,06:1,ezduzit,07:1,b3451,08:1,nat401k,09:0,,10:0,,11:1,glorp,12:1,ero-vbr,13:1,hrzpwr,14:1,jdmtyte,15:0,,16:1,wupkh8r,17:1,20tenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,209,00:1,NVRLKBK,01:0,,02:1,ONURKNZ,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,834ST,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRDV8R,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WUPKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,382,00:1,NVRLKBK,01:0,,02:1,ONURKN2,03:1,WSHRURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WURKH8R,17:1,2OTEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,276,00:1,NVRLKBK,01:1,UR25LOW,02:1,ONURKNZ,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B345T,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRDV8R,13:1,HRZPWR,14:1,JDMTYTE,15:1,WARTHOG,16:1,WURKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,157,00:1,NVRLKBK,01:0,,02:1,ONURKNZ,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:0,,09:0,,10:0,,11:1,GLORR,12:1,LRD V8R,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WURKH8R,17:1,20TEN SS
